0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr2_241650446,0.83,0.94,0.67,0.26,0.29,0.86,0.94,0.91,0.0,0.56,0.74,0.51,0.89,0.46,0.44,0.36,0.37,0.73,0.89,0.39,0.89,0.46,0.49,0.42,0.0,0.0,0.51,0.34,0.37,0.0,0.0
chr3_142890056,0.84,0.54,0.78,0.71,0.74,0.73,0.8,0.8,0.63,0.7,0.68,0.78,0.78,0.74,0.54,0.75,0.64,0.88,0.64,0.76,0.65,0.64,0.6,0.61,0.56,0.55,0.62,0.53,0.5,0.27,0.6
chr18_12271866,0.0,0.11,0.0,0.0,0.06,0.03,0.02,0.0,0.05,0.0,0.0,0.06,0.02,0.02,0.06,0.05,0.04,0.06,0.0,0.02,0.0,0.1,0.11,0.15,0.09,0.07,0.16,0.17,0.16,0.2,0.18
chr11_5938790,0.82,0.65,0.56,0.68,0.85,0.73,0.83,0.86,0.76,0.96,0.55,0.74,0.77,0.75,0.72,0.86,0.71,0.76,0.86,0.85,0.52,0.66,0.89,0.4,0.68,0.45,0.47,0.25,0.26,0.25,0.54
chr15_39668658,0.77,0.79,0.75,0.68,0.58,0.73,0.84,0.6,0.75,0.82,0.62,0.82,0.84,0.79,0.75,0.88,0.79,0.7,0.76,0.8,0.7,0.48,0.6,0.61,0.68,0.64,0.63,0.64,0.69,0.55,0.36
chr11_124747568,0.55,0.73,0.68,0.7,0.61,0.62,0.6,0.59,0.74,0.75,0.44,0.73,0.63,0.64,0.69,0.7,0.66,0.78,0.89,0.67,0.71,0.45,0.59,0.59,0.55,0.5,0.58,0.51,0.5,0.51,0.51
chr11_126583968,0.58,0.88,0.85,0.7,0.84,0.75,0.95,0.93,0.45,0.85,0.81,0.6,0.95,0.66,0.84,0.94,0.6860714285714286,0.6860714285714286,0.6860714285714286,0.73,0.86,0.44,0.85,0.57,0.0,0.51,0.0,0.51,0.8,0.8,0.56
chr20_47000683,0.6,0.47,0.48,0.62,0.46,0.45,0.61,0.62,0.5,0.66,0.55,0.79,0.53,0.57,0.64,0.67,0.67,0.5,0.43,0.7,0.52,0.43,0.32,0.35,0.35,0.54,0.54,0.42,0.21,0.26,0.3
chr13_25932174,0.89,0.8,0.8,0.9,0.77,0.85,0.79,0.86,0.76,0.85,0.75,0.82,0.84,0.89,0.81,1.0,0.77,0.73,0.88,0.86,0.88,0.7,0.75,0.68,0.59,0.75,0.71,0.73,0.74,0.69,0.74
chr2_224239379,0.6953333333333334,0.56,0.84,0.95,0.64,0.87,0.8,0.87,0.69,0.75,0.53,0.73,0.81,0.83,0.9,0.42,0.7,0.64,0.92,1.0,0.69,0.58,0.6,0.6,0.58,0.63,0.65,0.64,0.61,0.37,0.46
chr22_45804979,0.96,0.9,0.93,0.94,1.0,0.82,0.88,0.9,0.91,1.0,0.88,0.93,0.92,0.96,0.9,0.92,0.95,0.86,0.94,0.87,0.91,0.85,0.35,0.85,0.76,0.75,0.85,0.82,0.87,0.82,0.84
chr17_19240637,0.91,0.8,0.93,0.85,0.84,0.8,0.91,0.72,0.88,0.94,0.88,0.96,0.88,0.9,0.81,0.97,0.83,0.75,0.9,0.89,0.88,0.54,0.7,0.73,0.73,0.64,0.76,0.68,0.68,0.82,0.7
chr7_80241528,0.84,0.84,0.8,0.84,0.88,0.86,0.94,0.9,0.95,0.86,0.95,1.0,0.92,0.93,0.87,0.72,0.91,0.84,0.9,0.8,0.84,0.67,0.78,0.81,0.68,0.74,0.71,0.75,0.76,0.75,0.69
chr11_119368395,0.83,0.75,0.79,0.9,0.76,0.87,0.77,0.85,0.71,0.76,0.87,0.86,0.87,0.82,0.78,0.82,0.86,0.72,0.84,0.87,0.83,0.45,0.64,0.69,0.65,0.68,0.58,0.67,0.79,0.73,0.58
chr19_16067385,0.53,0.47,0.6,0.6,0.51,0.39,0.64,0.37,0.56,0.8,0.54,0.51,0.64,0.51,0.53,0.65,0.37,0.45,0.61,0.56,0.5,0.4,0.39,0.43,0.37,0.3,0.45,0.34,0.43,0.28,0.4
chr7_130010290,0.5,0.76,0.7,0.87,0.81,0.72,0.91,0.7196296296296297,0.81,0.7,0.77,0.8,0.7196296296296297,0.85,0.75,0.7,0.7196296296296297,0.87,0.7196296296296297,0.83,0.81,0.56,0.66,0.62,0.62,0.74,0.6,0.6,0.61,0.69,0.57
chr19_52585251,0.89,0.82,0.82,0.82,0.79,0.73,0.84,0.71,0.76,0.69,0.67,0.82,0.73,0.84,0.82,0.88,0.97,0.88,0.86,0.86,0.63,0.43,0.53,0.72,0.55,0.55,0.56,0.6,0.73,0.75,0.47
chr17_78361151,0.7,0.6259259259259261,0.81,0.6259259259259261,0.6259259259259261,0.72,0.66,0.71,0.5,0.75,0.73,0.52,0.46,0.72,0.83,1.0,0.57,0.61,0.75,0.6259259259259261,0.76,0.3,0.65,0.47,0.54,0.48,0.43,0.57,0.46,0.6,0.6
chr9_134375435,0.8,0.8,0.74,0.7,0.75,0.74,0.8,0.74,0.95,0.84,0.75,0.92,0.83,0.77,0.78,0.68,0.78,0.77,0.75,0.95,0.76,0.53,0.72,0.65,0.57,0.73,0.73,0.73,0.69,0.66,0.65
chr11_67285327,0.25,0.21,0.25,0.17,0.28,0.28,0.18,0.53,0.1,0.27,0.21,0.15,0.1,0.08,0.22,0.15,0.22,0.2,0.34,0.02,0.14,0.61,0.34,0.48,0.33,0.27,0.57,0.18,0.53,0.6,0.5
chr20_61768398,0.84,0.84,0.84,0.79,0.84,0.8,0.72,0.88,0.7,0.78,0.8,0.91,0.86,0.82,0.85,0.87,0.86,0.81,0.87,0.92,0.71,0.72,0.71,0.69,0.68,0.76,0.59,0.73,0.72,0.63,0.6
chr10_96672690,0.7,0.58,0.66,0.5,0.66,0.62,0.5,0.67,0.61,0.5599999999999999,0.64,0.5599999999999999,0.68,0.69,0.6,0.62,0.5,0.5,0.52,0.71,0.8,0.4,0.46,0.5,0.44,0.52,0.45,0.4,0.4,0.46,0.45
chr11_124745568,0.27,0.5124137931034484,0.53,0.31,0.55,0.61,0.66,0.7,0.57,0.82,0.77,0.75,0.5124137931034484,0.5,0.53,0.6,0.57,0.75,0.69,0.3,0.46,0.31,0.45,0.38,0.36,0.35,0.5,0.34,0.39,0.44,0.4
chr3_46408943,0.84,0.79,0.84,0.78,0.75,0.72,0.78,0.85,0.93,0.75,0.93,0.92,0.88,0.82,0.83,0.94,0.82,0.81,0.89,0.86,0.82,0.77,0.65,0.7,0.7,0.7,0.67,0.66,0.74,0.72,0.64
chr8_138152327,0.88,0.0,0.8,0.51,0.95,0.88,0.88,0.93,0.93,0.82,0.92,0.91,0.92,0.84,0.78,0.94,0.47,0.0,0.93,0.97,0.88,0.41,0.0,0.44,0.83,0.85,0.44,0.87,0.0,0.45,0.48
chr4_78136446,0.76,0.78,0.8,0.92,0.94,0.4,0.89,0.88,0.67,0.52,0.92,0.95,0.78,0.83,0.47,0.89,0.64,0.46,0.94,0.55,0.85,0.35,0.88,0.32,0.39,0.0,0.45,0.29,0.41,0.82,0.85
chr1_9582311,0.89,0.8,0.76,0.94,0.97,0.89,0.87,0.91,0.93,0.93,0.87,0.97,0.87,0.9,0.96,0.9,1.0,0.64,0.88,0.92,0.85,0.69,0.8,0.77,0.79,0.74,0.68,0.78,0.75,0.71,0.77
chr5_150524296,0.59,0.91,0.62,0.89,0.67,0.95,0.52,0.89,0.72,0.64,0.91,0.88,0.66,0.58,0.88,0.97,0.97,0.8,0.9,0.87,0.8,0.0,0.62,0.0,0.89,0.63,0.0,0.6,0.56,0.45,0.93
chr15_41834527,0.44,0.89,0.28,0.48,0.0,0.38,0.0,0.95,0.45,0.42,0.51,0.49,0.0,0.52,0.93,0.51,0.94,0.42,0.0,0.48,0.48,0.81,0.89,0.87,0.8,0.49,0.91,0.84,0.85,0.44,0.89
chr13_46321480,0.82,0.75,0.7,0.75,0.7,0.66,0.78,0.6,0.8,0.68,0.69,0.94,0.75,0.7,0.67,0.8,0.77,0.59,0.58,0.75,0.71,0.35,0.56,0.56,0.48,0.69,0.52,0.5,0.44,0.61,0.59
chr11_128926603,0.61,0.75,0.72,0.85,0.7,0.83,0.72,0.73,0.74,0.84,0.82,0.92,0.75,0.7,0.62,0.84,0.81,0.77,0.79,0.79,0.87,0.61,0.66,0.68,0.66,0.7,0.56,0.68,0.25,0.69,0.62
chr15_41496207,0.62,0.65,0.46,0.77,0.82,0.6,0.71,0.74,0.55,0.84,0.76,0.78,0.75,0.67,0.65,0.88,0.63,0.65,0.72,0.88,0.78,0.54,0.63,0.54,0.46,0.57,0.59,0.63,0.4,0.42,0.5
chr16_2250586,0.81,0.78,0.8,0.78,0.73,0.84,0.73,0.79,0.81,0.94,0.73,0.85,0.9,1.0,0.75,0.8,0.64,0.8,0.66,0.85,0.71,0.38,0.69,0.64,0.68,0.51,0.66,0.77,0.7,0.65,0.6
chr12_132320674,0.82,0.71,0.77,0.85,0.91,1.0,0.91,0.88,0.75,0.69,0.83,0.73,0.72,0.82,0.86,0.83,0.77,0.87,0.91,0.8,0.93,0.66,0.76,0.59,0.58,0.71,0.76,0.68,0.62,0.45,0.7
chr12_131833817,0.84,0.8,0.32,0.78,0.88,0.73,0.65,0.86,0.73,0.85,0.81,0.72,0.88,0.8,0.83,0.92,0.75,0.7,0.79,0.85,0.77,0.3,0.59,0.62,0.47,0.61,0.62,0.52,0.79,0.71,0.59
chr9_69749076,0.81,0.3,0.5,0.87,0.4,0.94,1.0,0.46,0.57,0.94,0.93,1.0,0.66,0.86,0.8,0.33,0.41,0.92,1.0,0.47,0.54,0.37,0.45,0.41,0.38,0.0,0.37,0.48,0.87,0.32,0.3
chr16_1239007,0.66,0.78,0.84,0.76,0.83,0.44,0.7,0.68,0.75,0.62,0.9,0.68,0.81,0.75,0.5,0.77,0.69,0.6593103448275862,0.6593103448275862,0.76,0.64,0.65,0.62,0.56,0.42,0.55,0.6,0.52,0.5,0.5,0.64
chr10_23918599,0.4,0.8,0.85,0.73,0.9,0.91,0.78,0.86,0.83,0.82,0.3,0.85,0.9,0.83,0.81,0.38,0.82,0.82,0.33,0.79,0.38,0.57,0.0,0.45,0.52,0.39,0.45,0.85,0.52,0.4,0.45
chr2_96508858,0.75,0.73,0.8,0.85,0.8,0.79,0.81,0.75,0.76,0.75,0.76,0.84,0.91,0.78,0.81,0.84,0.76,0.76,0.82,0.91,0.61,0.67,0.73,0.55,0.67,0.67,0.7,0.72,0.67,0.69,0.61
chr1_223629657,0.31,0.54,0.37,0.46,0.24,0.28,0.62,0.62,0.35,0.66,0.42,0.38,0.26,0.0,0.66,0.34,0.46,0.42,0.59,0.43,0.0,0.01,0.2,0.0,0.18,0.26,0.13,0.49,0.27,0.16,0.09
chr9_135734716,0.84,0.78,0.61,0.94,0.88,0.72,0.88,0.86,0.84,0.83,0.87,0.85,0.92,0.89,0.9,0.92,0.85,0.77,0.9,0.88,0.77,0.63,0.59,0.48,0.71,0.6,0.57,0.65,0.87,0.8,0.57
chr16_88602326,0.83,0.96,0.75,0.65,0.83,0.88,0.95,0.87,0.76,0.79,0.84,0.88,0.84,0.9,0.73,0.79,0.85,0.84,0.82,0.9,0.78,0.48,0.69,0.69,0.71,0.72,0.77,0.62,0.74,0.7,0.61
chr21_38391546,0.9,1.0,0.68,0.94,0.88,1.0,0.9,0.9,0.8566666666666666,0.94,1.0,0.88,0.9,0.84,0.88,0.91,0.8566666666666666,0.8566666666666666,0.8566666666666666,1.0,0.92,0.64,0.75,0.72,0.72,0.8,0.81,0.8,0.8,0.9,0.72
chr3_184855767,0.0,0.0,0.42,0.0,0.0,0.0,0.87,0.92,0.0,0.5,0.47,0.6,0.44,0.46,0.95,0.96,0.44,0.0,0.91,0.45,0.4,0.5,0.45,0.91,0.88,0.54,0.92,0.92,0.93,0.92,0.86
chr10_131410842,0.27,0.94,0.76,0.43,1.0,0.82,0.85,0.47,0.88,0.52,0.7,0.92,0.85,0.95,0.86,1.0,0.44,0.6273333333333333,1.0,0.91,0.0,0.0,0.39,0.88,0.0,0.5,0.54,0.42,0.45,0.42,0.65
chr17_78751637,0.77,0.84,0.88,0.87,1.0,0.85,0.83,0.91,0.86,0.88,0.69,0.84,0.79,0.94,0.84,1.0,0.86,0.86,0.9,1.0,0.71,0.52,0.77,0.78,0.79,0.62,0.76,0.76,0.74,0.67,0.65
chr11_58068902,0.89,0.78,0.82,0.86,0.73,0.81,0.91,0.8,0.7,0.81,0.8,0.81,0.84,0.82,0.8,0.8,0.8,0.84,0.85,0.79,0.8,0.54,0.77,0.66,0.69,0.67,0.69,0.74,0.76,0.73,0.66
chr15_98625641,0.72,0.88,0.72,0.82,0.94,0.96,0.85,0.84,0.87,0.92,0.95,0.96,0.9,0.78,0.9,0.94,0.87,0.93,0.78,0.87,0.8,0.67,0.74,0.76,0.67,0.71,0.79,0.67,0.72,0.75,0.62
chr11_102685852,0.75,0.71,0.59,0.6,0.59,0.67,0.69,0.64,0.57,0.51,0.53,0.76,0.75,0.59,0.6,0.67,0.66,0.56,0.63,0.68,0.6,0.53,0.54,0.26,0.52,0.53,0.41,0.6,0.55,0.44,0.33
chr6_167908596,0.62,0.83,0.65,0.58,0.0,0.75,0.66,0.6,0.47,0.85,0.72,0.47,0.54,0.55,0.76,0.0,0.76,0.38,0.47,0.81,0.53,0.85,0.88,0.88,0.86,0.0,0.85,0.88,0.81,0.8,0.8
chr5_150389334,0.8274074074074073,0.75,0.9,1.0,0.91,1.0,0.92,0.91,0.92,0.91,0.8,1.0,0.94,0.85,0.92,0.9,0.8274074074074073,0.8274074074074073,0.8274074074074073,0.73,0.83,0.78,0.82,0.62,0.61,0.73,0.64,0.74,0.88,0.65,0.68
chr14_100603380,0.82,0.52,0.82,0.52,0.84,0.87,0.4,0.87,0.48,0.88,0.91,0.87,0.85,0.94,0.85,0.41,0.85,0.53,0.52,1.0,0.22,0.78,0.5,0.49,0.25,0.47,0.01,0.58,0.47,0.02,0.72
chr1_67830924,0.86,0.81,0.7,0.86,0.81,0.94,0.84,0.89,0.82,0.94,0.82,0.9,0.85,0.72,0.9,0.83,0.8,0.75,0.87,0.89,0.88,0.63,0.65,0.73,0.6,0.79,0.72,0.77,0.77,0.73,0.66
chr3_306319,0.5,0.6,0.45,0.76,0.4544444444444445,0.5,0.5,0.5,0.46,0.78,0.3,0.5,0.59,0.4544444444444445,0.4544444444444445,0.7,0.66,0.4544444444444445,0.5,0.35,0.5,0.28,0.39,0.38,0.0,0.0,0.36,0.27,0.3,0.63,0.51
chr17_79206548,0.75,0.76,0.7859259259259259,0.84,0.81,0.83,0.83,0.81,0.88,0.85,1.0,0.85,1.0,0.86,0.7859259259259259,0.88,0.88,0.7859259259259259,0.7,0.86,0.89,0.68,0.76,0.65,0.6,0.66,0.62,0.7859259259259259,0.65,0.75,0.57
chr7_138679907,0.73,0.9,0.84,0.37,0.92,0.89,0.94,0.85,0.86,0.9,0.91,0.93,0.36,0.87,0.0,0.55,0.9,0.78,0.8,1.0,0.46,0.0,0.0,0.51,0.74,0.96,0.38,0.49,0.39,0.43,0.6
chr3_170559186,0.85,0.65,0.78,0.75,0.81,0.83,0.87,0.85,0.87,0.7,0.83,0.9,0.9,0.81,0.88,0.77,0.81,0.9,0.71,0.76,1.0,0.56,0.61,0.71,0.62,0.67,0.56,0.65,0.77,0.57,0.6
chr6_167220185,0.86,0.06,0.67,0.55,0.56,0.89,0.92,0.66,0.94,0.5977777777777779,0.86,0.71,0.91,0.5977777777777779,0.76,0.5977777777777779,0.5977777777777779,0.75,0.4,0.84,0.71,0.62,0.0,0.65,0.0,0.65,0.7,0.0,0.8,0.0,0.67
chr20_3221423,0.0,0.91,0.6,0.0,0.5,0.4,0.9,0.89,0.87,0.94,0.87,0.88,0.9,0.93,0.9,0.87,0.92,0.7,0.48,0.89,0.92,0.9,0.0,0.0,0.5,0.86,0.0,0.43,0.48,0.51,0.0
chr17_21512046,0.11,0.35,0.29,0.41,0.26,0.37,0.39,0.38,0.48,0.64,0.37,0.46,0.22,0.18,0.12,0.52,0.28,0.5,0.53,0.3,0.09,0.16,0.12,0.13,0.21,0.14,0.22,0.25,0.11,0.14,0.2
chr11_49433614,0.76,0.79,0.66,0.73,0.84,0.78,0.89,0.68,0.65,0.69,0.82,0.84,0.93,0.83,0.86,0.85,0.84,0.59,0.68,0.85,0.84,0.59,0.66,0.7,0.62,0.48,0.63,0.6,0.57,0.58,0.5
chr2_239275255,0.13,0.03,0.07,0.03,0.03,0.16,0.04,0.17,0.08,0.05,0.09,0.03,0.03,0.1,0.14,0.04,0.09,0.1,0.04,0.05,0.02,0.46,0.2,0.24,0.25,0.07,0.26,0.04,0.31,0.24,0.3
chr16_10942995,0.5,0.42,0.54,0.5644444444444445,0.9,0.7,0.7,0.71,0.81,0.75,0.83,0.5644444444444445,0.53,0.5,0.53,0.83,0.5644444444444445,0.46,0.56,0.5644444444444445,0.69,0.25,0.41,0.43,0.3,0.42,0.52,0.5,0.44,0.47,0.54
chr7_29947155,0.83,0.71,0.5,0.66,0.55,0.73,0.67,0.66,0.7,0.81,0.72,0.72,0.8,0.75,0.69,0.7,0.77,0.57,0.68,0.86,0.8,0.63,0.63,0.63,0.53,0.57,0.6,0.59,0.48,0.6,0.47
chr16_66322464,0.87,0.88,0.95,0.91,0.52,0.95,0.83,0.96,0.96,0.86,0.95,0.88,1.0,0.9,1.0,0.88,0.9,0.76,0.88,0.9,0.93,0.46,0.89,0.78,0.45,0.89,0.45,0.52,0.82,0.6,0.79
chr5_170615393,0.9,1.0,0.75,0.82,0.45,0.83,0.91,0.85,0.76,0.94,0.0,0.62,1.0,0.88,0.84,0.92,0.74,0.86,0.87,0.97,0.78,0.38,0.0,0.39,0.46,0.86,0.0,0.83,0.48,0.89,0.44
chr5_35954041,0.77,0.33,0.0,0.84,0.53,0.72,0.65,0.77,0.85,0.33,0.45,0.65,0.28,0.78,0.68,0.37,0.66,0.15,0.77,0.84,0.75,0.85,0.89,0.86,0.69,0.83,0.77,0.94,0.88,0.89,0.83
chr19_48498593,0.82,0.9,0.65,0.18,1.0,0.78,0.68,0.39,0.64,0.5975862068965516,0.66,0.84,0.8,0.54,0.63,0.5975862068965516,0.52,0.85,0.9,0.89,0.41,0.47,0.3,0.07,0.42,0.26,0.51,0.33,0.74,0.81,0.34
chr17_21512034,0.2,0.31,0.12,0.48,0.29,0.27,0.41,0.3,0.4,0.46,0.35,0.45,0.41,0.15,0.15,0.4,0.38,0.26,0.52,0.28,0.13,0.18,0.16,0.2,0.0,0.12,0.17,0.23,0.16,0.17,0.05
chr16_87311568,0.0,0.0,0.5,0.46,0.52,0.0,0.0,0.47,0.0,0.32,0.82,0.52,0.9,0.57,0.85,0.54,0.54,0.83,0.47,0.48,0.78,0.39,0.9,0.86,0.86,0.86,0.37,0.86,0.81,0.85,0.92
chr2_144131310,0.94,0.79,0.86,0.85,0.81,0.93,0.9,0.86,0.83,0.94,0.84,1.0,0.94,0.82,0.83,0.86,0.87,0.83,0.84,0.89,0.69,0.69,0.79,0.79,0.74,0.77,0.77,0.71,0.71,0.76,0.71
chr8_75894363,0.81,0.76,0.76,0.82,0.85,0.74,0.7,0.72,0.82,0.79,0.86,0.87,0.85,0.58,0.8,0.72,0.72,0.66,0.61,0.82,0.77,0.62,0.56,0.62,0.64,0.65,0.47,0.67,0.63,0.7,0.54
chr2_158935983,0.86,0.89,0.45,0.47,0.51,0.59,0.92,0.86,0.91,0.92,0.94,0.62,0.62,0.43,0.9,0.97,0.81,0.5,0.96,0.88,0.92,0.41,0.0,0.47,0.84,0.42,0.92,0.88,0.0,0.0,0.42
chr11_73957474,0.66,0.61,0.71,0.19,0.33,0.66,0.46,0.25,0.52,0.44,0.0,0.23,0.72,0.25,0.2,0.21,0.35600000000000004,0.76,0.84,0.65,0.21,0.27,0.14,0.13,0.42,0.01,0.1,0.04,0.12,0.13,0.42
chr1_225915598,0.93,0.84,0.85,0.84,0.85,0.83,0.8,0.84,0.86,0.85,0.94,0.83,0.91,0.88,0.75,0.91,0.83,0.76,1.0,0.83,0.72,0.74,0.78,0.69,0.6,0.64,0.81,0.8,0.76,0.78,0.37
chr9_135590793,0.85,0.85,0.75,0.78,0.73,0.77,0.88,0.8,0.72,0.7,0.8,0.72,0.89,0.84,0.71,0.8,0.8,0.71,0.73,0.8,0.64,0.56,0.61,0.6,0.64,0.67,0.68,0.68,0.63,0.71,0.57
chr1_239994376,0.64,0.77,0.71,0.85,0.7,0.76,0.72,0.7,0.65,0.8,0.64,0.73,0.74,0.68,0.79,0.9,0.76,0.5,0.62,0.78,0.76,0.47,0.66,0.57,0.21,0.69,0.57,0.57,0.54,0.5,0.56
chr3_32191289,0.85,0.68,0.9,0.52,0.95,0.82,1.0,0.63,0.87,0.7031034482758621,0.91,1.0,0.94,0.61,0.88,0.75,0.81,0.45,0.7031034482758621,0.94,0.94,0.0,0.02,0.57,0.89,1.0,0.03,0.87,0.58,0.56,0.42
chr11_70711973,0.85,0.64,0.7207407407407409,0.85,0.66,0.88,0.62,0.92,0.83,0.7207407407407409,0.72,0.81,0.81,0.9,0.8,0.69,0.7207407407407409,0.7207407407407409,0.91,0.81,0.72,0.56,0.62,0.65,0.66,0.86,0.64,0.55,0.47,0.48,0.55
chr2_234823705,0.82,0.0,0.51,0.83,0.84,0.8,0.97,0.86,0.91,0.91,0.34,0.93,0.92,0.44,0.75,0.9,0.3,0.77,0.83,0.89,0.81,0.69,0.46,0.42,0.37,0.44,0.44,0.39,0.89,0.38,0.32
chr8_28621514,0.78,0.73,0.71,0.95,0.89,0.76,0.85,0.68,0.77,0.88,0.84,0.88,0.79,0.76,0.84,0.92,0.75,0.68,0.71,0.88,0.93,0.64,0.48,0.65,0.67,0.68,0.69,0.69,0.68,0.77,0.53
chr12_118775355,0.78,0.85,0.88,0.88,0.9,0.87,0.91,0.76,0.82,0.85,0.9,0.9,0.84,0.84,0.89,0.82,0.86,0.73,0.9,0.88,0.85,0.76,0.77,0.69,0.72,0.78,0.7,0.73,0.66,0.75,0.63
chr6_7890300,0.71,0.81,0.71,0.85,0.9,0.88,0.85,0.89,0.87,0.81,0.74,0.9,0.93,0.8,0.92,0.84,0.88,0.8,0.82,0.94,0.85,0.68,0.76,0.69,0.63,0.74,0.65,0.74,0.79,0.76,0.65
chr14_105364051,0.76,0.68,0.82,0.86,1.0,0.8,0.7,0.76,0.86,0.85,0.84,0.92,0.88,0.8,0.72,0.73,0.7460714285714287,0.7460714285714287,0.7460714285714287,0.82,0.66,0.62,0.68,0.62,0.61,0.66,0.64,0.66,0.62,0.75,0.57
chr2_28583939,0.56,0.4,0.58,0.5,0.66,0.66,0.47,0.58,0.65,0.78,0.64,0.65,0.6,0.69,0.5686206896551724,0.63,0.5686206896551724,0.54,0.7,0.66,0.73,0.47,0.51,0.44,0.51,0.51,0.47,0.5,0.51,0.39,0.5
chr17_34623977,0.59,0.61,0.71,0.85,0.47,0.42,0.48,0.8,0.56,0.56,0.8,0.57,0.5,0.57,0.5523333333333333,0.53,0.75,0.61,0.56,0.75,0.78,0.46,0.46,0.41,0.31,0.51,0.59,0.51,0.21,0.32,0.32
chr2_1841688,0.75,0.0,0.42,0.0,0.85,0.82,0.0,0.55,0.78,0.78,0.44,0.89,0.77,0.5,0.38,0.8,0.72,0.67,0.55,0.41,0.42,0.28,0.49,0.41,0.32,0.44,0.38,0.0,0.0,0.0,0.39
chr2_175183221,0.84,0.9,0.81,0.97,0.81,0.82,0.83,0.81,0.88,0.87,0.86,0.86,0.97,0.79,0.86,0.76,0.9,0.86,0.89,0.82,0.84,0.64,0.76,0.74,0.61,0.77,0.71,0.81,0.71,0.7,0.71
chr3_10372236,0.93,0.93,0.85,0.96,0.96,0.86,0.86,0.96,0.86,1.0,0.82,0.92,1.0,0.88,0.95,0.9,1.0,0.88,1.0,1.0,0.52,0.88,0.68,0.82,0.37,0.7,0.67,0.88,0.54,0.53,0.79
chr13_112645850,0.59,0.7,0.8,0.65,0.67,0.72,0.77,0.78,0.58,0.5,0.94,0.84,0.76,0.78,0.74,0.81,0.78,0.6,0.7,0.86,0.71,0.58,0.59,0.57,0.6,0.63,0.61,0.56,0.6,0.52,0.5
chr3_15859707,0.0,0.057241379310344835,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.05,0.02,0.03,0.0,0.03,0.05,0.05,0.0,0.057241379310344835,0.0,0.0,0.0,0.12,0.17,0.18,0.07,0.06,0.07,0.2,0.11,0.18,0.18
chr17_59847832,0.58,0.71,0.48,0.81,0.63,0.8,0.68,0.62,0.59,0.91,0.59,0.66,0.76,0.66,0.69,0.82,0.52,0.65,0.81,0.63,0.6,0.45,0.43,0.29,0.65,0.57,0.51,0.73,0.31,0.15,0.47
chr1_106960536,0.0,0.4,0.0,0.0,0.53,0.0,0.0,0.69,0.0,0.0,0.0,0.68,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.72,0.0,0.36,0.34,0.42,0.38,0.79,0.53,0.43,0.7
chr16_1024290,0.76,0.76,0.68,0.81,0.78,0.65,0.75,0.73,0.64,0.8,0.69,0.77,0.82,0.74,0.7,0.83,0.67,0.69,0.8,0.91,0.69,0.57,0.53,0.58,0.62,0.68,0.59,0.66,0.56,0.59,0.57
chr2_202508843,0.95,0.94,0.79,0.91,0.96,0.86,1.0,0.8720689655172412,0.86,1.0,0.95,0.94,0.94,1.0,0.78,1.0,0.83,0.92,0.93,0.88,0.8720689655172412,0.81,0.83,0.78,0.83,0.78,0.82,0.78,0.78,0.74,0.7
chr16_69482687,0.66,0.53,0.4,0.2,0.75,0.5100000000000001,0.6,0.81,0.69,0.53,0.57,0.54,0.61,0.66,0.5100000000000001,0.33,0.3,0.5100000000000001,0.71,0.72,0.54,0.51,0.41,0.52,0.4,0.37,0.52,0.22,0.41,0.38,0.39
chr5_688646,0.81,0.94,0.6,0.57,0.76,0.7133333333333333,0.76,0.77,0.84,0.85,0.3,0.84,0.8,0.85,0.78,0.78,0.83,0.66,0.84,0.88,0.81,0.69,0.56,0.7,0.6,0.72,0.71,0.65,0.03,0.73,0.74
chr22_33756666,0.3672413793103448,0.0,0.3672413793103448,0.66,0.0,0.0,0.52,0.53,0.73,0.84,0.4,0.63,0.54,0.56,0.54,0.48,0.61,0.46,0.7,0.35,0.43,0.0,0.66,0.0,0.39,0.0,0.0,0.0,0.0,0.62,0.0
chr19_52585264,0.8,0.5,0.86,0.76,0.47,0.68,0.71,0.61,0.68,0.75,0.59,0.78,0.78,0.78,0.75,0.62,0.84,0.8,0.75,0.87,0.59,0.46,0.38,0.44,0.61,0.41,0.44,0.47,0.75,0.56,0.42
chr16_88735257,0.58,0.46,0.46,0.69,0.47,0.44,0.51,0.48,0.41,0.64,0.54,0.74,0.75,0.44,0.48,0.71,0.45,0.6,0.4,0.62,0.42,0.39,0.33,0.42,0.24,0.39,0.3,0.43,0.46,0.42,0.17
chr3_57737224,0.8,0.87,0.92,0.79,0.87,0.9,0.87,0.82,0.9,0.73,0.92,0.96,0.91,0.94,0.82,0.84,0.82,0.83,0.75,0.92,0.8,0.71,0.78,0.75,0.65,0.79,0.75,0.73,0.7,0.7,0.68
chr11_128926575,0.85,0.75,0.79,0.78,0.73,0.77,0.82,0.64,0.8,0.82,0.76,0.86,0.92,0.84,0.69,0.91,0.83,0.83,0.71,0.79,0.83,0.67,0.71,0.67,0.7,0.71,0.55,0.74,0.43,0.66,0.62
